400k[80004371451, 80004378423, 80004356190, 80004375526, 80004412624, 80004383322, 80004396974, 80004365450, 80004354800, 80004386414, 80004382415, 80004402278, 80004386637, 80004356323, 80004389450, 80004389726, 80004379919, 80004364915, 80004391380, 80004370987, 80004373938, 80004380497, 80004368935, 80004386738, 80004388115, 80004350536, 80004379869, 80004392463, 80004382465, 80004357656]
400k[21843, 21809, 21765, 21718, 21787, 21803, 21815, 21850, 21816, 21783, 21845, 21805, 21778, 21833, 21866, 21801, 21813, 21859, 21827, 21843, 21806, 21808, 21823, 21847, 21874, 21847, 21877, 21821, 21885, 21813]
400k[79971919542, 80082889002, 79994030862, 80026767580, 79934629652, 80107889688, 79963013244, 80064671228, 79894407032, 79991878560, 80109895582, 79911682372, 79914843304, 79957434562, 79944286078, 79996919634, 80073451164, 79981664492, 79970764566, 79947526854, 79861457440, 79902932482, 80091007522, 79891498988, 79959339782, 79878024380, 79951042876, 80093609572, 79962066174, 80032106018]
400k[28655, 28714, 28760, 28709, 28701, 28718, 28649, 28680, 28615, 28666, 28654, 28607, 28625, 28664, 28638, 28654, 28693, 28641, 28651, 28677, 28651, 28669, 28677, 28638, 28657, 28607, 28656, 28760, 28722, 28664]
400k[120014190068, 119958844809, 119985519627, 119936597784, 120020229260, 120041434066, 119967249751, 119929269814, 120033395966, 119986757344, 120001818327, 120020338505, 120020039232, 119954111097, 120005832917, 119953765559, 120099098541, 120025939420, 120052166547, 120022859923, 120076662818, 120054715679, 119975749827, 119988206375, 119975828642, 119936065291, 119939666164, 119979065504, 120010501627, 119950917779]
400k[146898, 147037, 146844, 146903, 146880, 146906, 147096, 147152, 147167, 147029, 147128, 147204, 146885, 147007, 147007, 147095, 147145, 147014, 147257, 146974, 147287, 146942, 146977, 147108, 146698, 147065, 146985, 146927, 146736, 146956]
400k[134327, 316627, 286037, 239317, 225366, 15330, 285252, 335940, 332325, 138498, 238775, 332575, 354574, 221818, 223324, 128221, 381203, 319520, 259539, 313715, 352644, 201338, 212682, 119883, 157071, 152436, 285170, 335565, 259713, 346460]
400k[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
400k[18, 18, 17, 15, 18, 19, 19, 17, 18, 18, 17, 19, 18, 19, 18, 12, 19, 19, 16, 19, 19, 17, 15, 19, 18, 17, 19, 18, 19, 18]
400k[28692, 28662, 28605, 28620, 28654, 28669, 28688, 28679, 28703, 28703, 28742, 28680, 28632, 28642, 28661, 28655, 28667, 28553, 28697, 28636, 28635, 28676, 28561, 28673, 28626, 28677, 28672, 28687, 28631, 28587]

800k[320009294611, 320009322305, 320009328595, 320009371946, 320009269680, 320009280804, 320009337276, 320009297549, 320009314145, 320009336551, 320009354675, 320009296890, 320009375346, 320009294128, 320009337407, 320009288246, 320009317885, 320009264898, 320009343281, 320009312888, 320009314521, 320009334500, 320009258974, 320009310359, 320009333768, 320009325853, 320009310020, 320009315658, 320009314661, 320009291272]
800k[87297, 87368, 87267, 87298, 87252, 87264, 87338, 87246, 87174, 87281, 87158, 87309, 87452, 87515, 87374, 87400, 87443, 87368, 87389, 87327, 87221, 87195, 87215, 87210, 87257, 87354, 87437, 87402, 87370, 87374]
800k[319895845476, 319896379838, 319535699512, 319867789476, 319561799316, 319906598086, 320013629290, 320039746100, 319650030512, 319813949408, 319854134546, 320120364036, 320194269944, 320428132276, 320291002578, 319595461270, 319775793446, 319767149156, 320499608422, 319857259332, 319950889038, 320156396552, 319933896512, 320717847998, 319925393318, 319965062606, 319649241976, 320177678368, 319834874430, 320406428904]
800k[114622, 114698, 114519, 114744, 114612, 114761, 114684, 114687, 114630, 114619, 114565, 114736, 114841, 114886, 114881, 114667, 114625, 114621, 115385, 114817, 114745, 114779, 114709, 115061, 114766, 114749, 114638, 115079, 114719, 114824]
